country_code,NUTS3_2006,NUTS3_2010,NUTS3_2013,NUTS3_2016,Source,id,Comment
DE,DEB3G,DEB3G,DEB3G,DEB3G,NUTS3,DEU_5,
DE,DEB3F,DEB3F,DEB3F,DEB3F,NUTS3,DEU_5,
DE,DEB3E,DEB3E,DEB3E,DEB3E,NUTS3,DEU_5,
DE,DEB3D,DEB3D,DEB3D,DEB3D,NUTS3,DEU_5,
DE,DEB3C,DEB3C,DEB3C,DEB3C,NUTS3,DEU_5,
DE,DEB3B,DEB3B,DEB3B,DEB3B,NUTS3,DEU_5,
DE,DEB3A,DEB3A,DEB3A,DEB3A,NUTS3,DEU_5,
DE,DEC01,DEC01,DEC01,DEC01,NUTS3,DEU_5,
DE,,DED44,DED44,DED44,NUTS3,DEU_4,
DE,,DED45,DED45,DED45,NUTS3,DEU_4,
DE,DED31,DED51,DED51,DED51,NUTS3,DEU_4,
DE,DEF09,DEF09,DEF09,DEF09,NUTS3,DEU_1,
DE,DEF08,DEF08,DEF08,DEF08,NUTS3,DEU_1,
DE,DEF07,DEF07,DEF07,DEF07,NUTS3,DEU_1,
DE,DEF06,DEF06,DEF06,DEF06,NUTS3,DEU_1,
DE,DEF05,DEF05,DEF05,DEF05,NUTS3,DEU_1,
DE,DEF04,DEF04,DEF04,DEF04,NUTS3,DEU_1,
DE,DEF03,DEF03,DEF03,DEF03,NUTS3,DEU_1,
DE,DEF02,DEF02,DEF02,DEF02,NUTS3,DEU_1,
DE,DEF01,DEF01,DEF01,DEF01,NUTS3,DEU_1,
DE,DEE0E,DEE0E,DEE0E,DEE0E,NUTS3,DEU_4,
DE,DEE0D,DEE0D,DEE0D,DEE0D,NUTS3,DEU_2,
DE,DEE0C,DEE0C,DEE0C,DEE0C,NUTS3,DEU_4,
DE,DEE0B,DEE0B,DEE0B,DEE0B,NUTS3,DEU_4,
DE,DEE0A,DEE0A,DEE0A,DEE0A,NUTS3,DEU_4,
DE,DEE09,DEE09,DEE09,DEE09,NUTS3,DEU_4,
DE,DE91A,DE91A,DE91A,DE91A,NUTS3,DEU_1,
DE,DEE07,DEE07,DEE07,DEE07,NUTS3,DEU_2,
DE,DEE06,DEE06,DEE06,DEE06,NUTS3,DEU_2,
DE,DEE05,DEE05,DEE05,DEE05,NUTS3,DEU_4,
DE,DEE04,DEE04,DEE04,DEE04,NUTS3,DEU_2,
DE,DEE03,DEE03,DEE03,DEE03,NUTS3,DEU_2,
DE,DEE02,DEE02,DEE02,DEE02,NUTS3,DEU_4,
DE,DEE01,DEE01,DEE01,DEE01,NUTS3,DEU_4,
DE,,DED53,DED53,DED53,NUTS3,DEU_4,
DE,,DED52,DED52,DED52,NUTS3,DEU_4,
DE,DEF0B,DEF0B,DEF0B,DEF0B,NUTS3,DEU_1,
DE,DE919,DE919,DE919,,NUTS3,DEU_1,
DE,DE945,DE945,DE945,DE945,NUTS3,DEU_1,
DE,DE917,DE917,DE917,DE917,NUTS3,DEU_1,
DE,DE21J,DE21J,DE21J,DE21J,NUTS3,DEU_7,
DE,DE21I,DE21I,DE21I,DE21I,NUTS3,DEU_7,
DE,DE21H,DE21H,DE21H,DE21H,NUTS3,DEU_7,
DE,DE21G,DE21G,DE21G,DE21G,NUTS3,DEU_7,
DE,DE21F,DE21F,DE21F,DE21F,NUTS3,DEU_7,
DE,DE21E,DE21E,DE21E,DE21E,NUTS3,DEU_7,
DE,DE21D,DE21D,DE21D,DE21D,NUTS3,DEU_7,
DE,DE21C,DE21C,DE21C,DE21C,NUTS3,DEU_7,
DE,DE21B,DE21B,DE21B,DE21B,NUTS3,DEU_7,
DE,DE21A,DE21A,DE21A,DE21A,NUTS3,DEU_7,
DE,DE219,DE219,DE219,DE219,NUTS3,DEU_7,
DE,DE21K,DE21K,DE21K,DE21K,NUTS3,DEU_7,
DE,DE218,DE218,DE218,DE218,NUTS3,DEU_7,
DE,DE216,DE216,DE216,DE216,NUTS3,DEU_7,
DE,DE215,DE215,DE215,DE215,NUTS3,DEU_7,
DE,DE214,DE214,DE214,DE214,NUTS3,DEU_7,
DE,DE213,DE213,DE213,DE213,NUTS3,DEU_7,
DE,DE212,DE212,DE212,DE212,NUTS3,DEU_7,
DE,DE211,DE211,DE211,DE211,NUTS3,DEU_7,
DE,DE149,DE149,DE149,DE149,NUTS3,DEU_6,
DE,DE148,DE148,DE148,DE148,NUTS3,DEU_6,
DE,DE147,DE147,DE147,DE147,NUTS3,DEU_6,
DE,DE146,DE146,DE146,DE146,NUTS3,DEU_6,
DE,DE145,DE145,DE145,DE145,NUTS3,DEU_6,
DE,DE217,DE217,DE217,DE217,NUTS3,DEU_7,
DE,DE144,DE144,DE144,DE144,NUTS3,DEU_6,
DE,DE21L,DE21L,DE21L,DE21L,NUTS3,DEU_7,
DE,DE21N,DE21N,DE21N,DE21N,NUTS3,DEU_7,
DE,DE242,DE242,DE242,DE242,NUTS3,DEU_7,
DE,DE241,DE241,DE241,DE241,NUTS3,DEU_7,
DE,DE23A,DE23A,DE23A,DE23A,NUTS3,DEU_7,
DE,DE239,DE239,DE239,DE239,NUTS3,DEU_7,
DE,DE238,DE238,DE238,DE238,NUTS3,DEU_7,
DE,DE237,DE237,DE237,DE237,NUTS3,DEU_7,
DE,DE236,DE236,DE236,DE236,NUTS3,DEU_7,
DE,DE235,DE235,DE235,DE235,NUTS3,DEU_7,
DE,DE234,DE234,DE234,DE234,NUTS3,DEU_7,
DE,DE233,DE233,DE233,DE233,NUTS3,DEU_7,
DE,DE232,DE232,DE232,DE232,NUTS3,DEU_7,
DE,DE21M,DE21M,DE21M,DE21M,NUTS3,DEU_7,
DE,DE231,DE231,DE231,DE231,NUTS3,DEU_7,
DE,DE22B,DE22B,DE22B,DE22B,NUTS3,DEU_7,
DE,DE22A,DE22A,DE22A,DE22A,NUTS3,DEU_7,
DE,DE229,DE229,DE229,DE229,NUTS3,DEU_7,
DE,DE228,DE228,DE228,DE228,NUTS3,DEU_7,
DE,DE227,DE227,DE227,DE227,NUTS3,DEU_7,
DE,DE226,DE226,DE226,DE226,NUTS3,DEU_7,
DE,DE225,DE225,DE225,DE225,NUTS3,DEU_7,
DE,DE224,DE224,DE224,DE224,NUTS3,DEU_7,
DE,DE223,DE223,DE223,DE223,NUTS3,DEU_7,
DE,DE222,DE222,DE222,DE222,NUTS3,DEU_7,
DE,DE221,DE221,DE221,DE221,NUTS3,DEU_7,
DE,DE22C,DE22C,DE22C,DE22C,NUTS3,DEU_7,
DE,DE243,DE243,DE243,DE243,NUTS3,DEU_7,
DE,DE143,DE143,DE143,DE143,NUTS3,DEU_6,
DE,DE141,DE141,DE141,DE141,NUTS3,DEU_6,
DE,DE117,DE117,DE117,DE117,NUTS3,DEU_6,
DE,DE116,DE116,DE116,DE116,NUTS3,DEU_6,
DE,DE115,DE115,DE115,DE115,NUTS3,DEU_6,
DE,DE114,DE114,DE114,DE114,NUTS3,DEU_6,
DE,DE113,DE113,DE113,DE113,NUTS3,DEU_6,
DE,DE112,DE112,DE112,DE112,NUTS3,DEU_6,
DE,DE111,DE111,DE111,DE111,NUTS3,DEU_6,
DE,DED1B,,,,NUTS3,DEU_4,
DE,DED1C,,,,NUTS3,DEU_4,
DE,DED22,,,,NUTS3,DEU_4,
DE,DED23,,,,NUTS3,DEU_4,
DE,DE118,DE118,DE118,DE118,NUTS3,DEU_6,
DE,DED24,,,,NUTS3,DEU_4,
DE,DED26,,,,NUTS3,DEU_4,
DE,DED27,,,,NUTS3,DEU_4,
DE,DED28,,,,NUTS3,DEU_4,
DE,DED29,,,,NUTS3,DEU_4,
DE,DED2A,,,,NUTS3,DEU_4,
DE,DED2B,,,,NUTS3,DEU_4,
DE,DED32,,,,NUTS3,DEU_4,
DE,DED33,,,,NUTS3,DEU_4,
DE,DED34,,,,NUTS3,DEU_4,
DE,DED35,,,,NUTS3,DEU_4,
DE,DED36,,,,NUTS3,DEU_4,
DE,DED25,,,,NUTS3,DEU_4,
DE,DE142,DE142,DE142,DE142,NUTS3,DEU_6,
DE,DE119,DE119,DE119,DE119,NUTS3,DEU_6,
DE,DE11B,DE11B,DE11B,DE11B,NUTS3,DEU_6,
DE,DE13A,DE13A,DE13A,DE13A,NUTS3,DEU_6,
DE,DE139,DE139,DE139,DE139,NUTS3,DEU_6,
DE,DE138,DE138,DE138,DE138,NUTS3,DEU_6,
DE,DE137,DE137,DE137,DE137,NUTS3,DEU_6,
DE,DE136,DE136,DE136,DE136,NUTS3,DEU_6,
DE,DE135,DE135,DE135,DE135,NUTS3,DEU_6,
DE,DE134,DE134,DE134,DE134,NUTS3,DEU_6,
DE,DE133,DE133,DE133,DE133,NUTS3,DEU_6,
DE,DE132,DE132,DE132,DE132,NUTS3,DEU_6,
DE,DE918,DE918,DE918,DE918,NUTS3,DEU_1,
DE,DE12C,DE12C,DE12C,DE12C,NUTS3,DEU_6,
DE,DE11A,DE11A,DE11A,DE11A,NUTS3,DEU_6,
DE,DE12B,DE12B,DE12B,DE12B,NUTS3,DEU_6,
DE,DE129,DE129,DE129,DE129,NUTS3,DEU_6,
DE,DE128,DE128,DE128,DE128,NUTS3,DEU_6,
DE,DE127,DE127,DE127,DE127,NUTS3,DEU_6,
DE,DE126,DE126,DE126,DE126,NUTS3,DEU_6,
DE,DE125,DE125,DE125,DE125,NUTS3,DEU_6,
